Ref,Val,Package,PosX,PosY,Rot,Side
"J401","Conn_01x11","JST_XA_S11B-XASK-1_1x11_P2.50mm_Horizontal",168.500000,-109.000000,-90.000000,bottom
"J501","Conn_01x03","JST_XA_S03B-XASK-1_1x03_P2.50mm_Horizontal",144.250000,-96.900000,0.000000,bottom
"J601","Conn_01x05","JST_XA_S05B-XASK-1_1x05_P2.50mm_Horizontal",114.500000,-140.000000,180.000000,bottom
"J602","Conn_01x06","JST_PH_S6B-PH-K_1x06_P2.00mm_Horizontal",150.800000,-144.400000,180.000000,bottom
"J901","Conn_01x05","JST_XA_S05B-XASK-1_1x05_P2.50mm_Horizontal",167.400000,-143.800000,180.000000,bottom
"J1101","Conn_01x02","JST_XA_S02B-XASK-1_1x02_P2.50mm_Horizontal",105.150000,-96.900000,0.000000,bottom
"SW701","DOWN","SW_Cherry_MX_1.00u_PCB",124.710000,-102.420000,180.000000,bottom
"SW702","UP","SW_Cherry_MX_1.00u_PCB",124.710000,-127.420000,180.000000,bottom
